Date,Hour,Minute,Power (kW)
5/10/2012,6,15,11.52
5/10/2012,6,30,11.52
5/10/2012,6,45,11.52
5/10/2012,7,0,11.52
5/10/2012,7,15,11.52
5/10/2012,7,30,11.52
5/10/2012,7,45,11.52
5/10/2012,8,0,11.52
5/10/2012,8,15,11.52
5/10/2012,8,30,11.52
5/10/2012,8,45,11.52
5/10/2012,9,0,11.52
5/10/2012,9,15,11.52
5/10/2012,9,30,11.52
5/10/2012,9,45,11.52
5/10/2012,10,0,11.52
5/10/2012,10,15,11.52
5/10/2012,10,30,12.03
5/10/2012,10,45,15.23
5/10/2012,11,0,20.03
5/10/2012,11,15,12.1
5/10/2012,11,30,16.83
5/10/2012,11,45,19.84
5/10/2012,12,0,12.48
5/10/2012,12,15,11.97
5/10/2012,12,30,11.97
5/10/2012,12,45,11.97
5/10/2012,13,0,11.46
5/10/2012,13,15,11.46
5/10/2012,13,30,11.46
5/10/2012,13,45,13.06
5/10/2012,14,0,14.91
5/10/2012,14,15,14.98
5/10/2012,14,30,15.3
5/10/2012,14,45,12.16
5/10/2012,15,0,12.03
5/10/2012,15,15,12.86
5/10/2012,15,30,16.45
